Instance,Algorithm,Improvement_Time,DCI,Distribution Metric (DM),Hypevolume (Monte Carlo),PCI,PF-Share,Spacing,Spread
a3_o80_m10_an10_ar9_reduced,PSA,237.59,0.24637681159420283,0.3104788938921776,0.434515015501929,0.4508856165672524,10.344827586206897,0.1371344369912489,0.670827868370246
a3_o80_m10_an10_ar9_reduced,DBSA,50.03,0.9293478260869565,0.15428560542785366,0.6851373754104637,0.16546787084161552,89.65517241379311,0.03908877577560399,0.6014476594143193
a5_o96_m10_an10_ar10_reduced,PSA,200.6,0.32926829268292684,0.838355737948908,0.19619004808206178,0.24847381624169304,16.50943396226415,0.17274463181076094,0.4995013847427151
a5_o96_m10_an10_ar10_reduced,DBSA,43.88,0.8597560975609756,0.14698585517885202,0.22663869208190085,0.12435659068277237,83.49056603773585,0.054709859906088815,0.6233135566425503
a10_o107_m5_an57_ar12,PSA,152.55,0.49572649572649563,0.3745016655218955,0.18249887963565525,0.2141973547224943,23.837209302325583,0.09639198658898719,0.649116794472061
a10_o107_m5_an57_ar12,DBSA,38.3,0.7692307692307692,0.1912261972688729,0.33654328702639047,0.1708643958243769,76.16279069767442,0.060599166005576924,0.5683410143701172
a10_o114_m6_an57_ar11,PSA,277.31,0.5963414634146341,0.2193701152484133,0.3283521729362929,0.11464304692758279,43.333333333333336,0.0892412160160142,0.9481411944055063
a10_o114_m6_an57_ar11,DBSA,46.92,0.8,0.16219681791957022,0.3955428954528392,0.1278365108225198,56.666666666666664,0.08405293304369865,0.8549115416783565
a10_o128_m6_an51_ar13,PSA,202.32,0.6504629629629629,0.24410128102877007,0.0057895309013778545,0.17545710347717916,30.29661016949153,0.06689915521523367,0.9883994321180474
a10_o128_m6_an51_ar13,DBSA,48.58,0.8368055555555556,0.22287012797347502,0.006947437081653424,0.2836058992766518,69.70338983050848,0.04613168674417846,0.859581060460103
a10_o144_m6_an53_ar12,PSA,151.89,0.8402777777777778,0.8573936962880542,0.7760330105620961,0.1706157140587216,60.46511627906976,0.07532503409131115,0.4143817954004799
a10_o144_m6_an53_ar12,DBSA,32.57,0.6597222222222221,0.16791245577615824,0.45837002708631003,0.3657572274482206,39.53488372093023,0.06548301828478965,0.6632228321542813
a15_o170_m9_an80_ar18,PSA,343.05,0.29545454545454547,0.38553548116262354,0.0050283148013818765,0.2039658589411499,12.665684830633284,0.10808440704978448,0.8927836983331618
a15_o170_m9_an80_ar18,DBSA,99.51,0.8984848484848484,0.08638256327855656,0.0645854336109263,0.22475756039108777,87.33431516936672,0.03999126203071924,0.8237771447473278
a20_o236_m12_an106_ar24,PSA,834.75,0.6314935064935064,0.10362944537534675,0.22423710889318116,0.11928400330977894,31.609870740305524,0.0586307888290002,0.9658504859917214
a20_o236_m12_an106_ar24,DBSA,132.78,0.9055194805194805,0.06860008831843956,0.1438269574851554,0.09389961946420917,68.39012925969448,0.05519715324213596,0.8714131331080106
a25_o306_m13_an127_ar31,PSA,785.17,0.5402173913043479,0.07465870720158108,0.04701313518989239,0.18998845491472474,26.07377463365336,0.03838429703303556,0.9500425170068026
a25_o306_m13_an127_ar31,DBSA,193.01,0.8002717391304348,0.06907596311096173,0.08302616166716685,0.20264231177791026,73.92622536634664,0.03587877435473929,0.7071863594740684
a30_o355_m18_an148_ar42,PSA,1000.33,0.5187637969094923,0.09746481506519006,0.05849570481095846,0.1987959277077087,31.87209902011346,0.03939752294701738,0.8494631897050108
a30_o355_m18_an148_ar42,DBSA,314.96,0.7472406181015453,0.07159699820603282,0.07323756590242986,0.1718532917795105,68.12790097988653,0.03789968679671622,0.779591676255418
a40_o476_m22_an215_ar51,PSA,1559.8,0.5140977443609023,0.08597728821656134,0.0015760389675973047,0.22352846721179456,33.59213250517598,0.02267792982786045,0.9069916127452645
a40_o476_m22_an215_ar51,DBSA,502.57,0.6141917293233082,0.06750649435557539,0.03066307107026049,0.3363141278861845,66.40786749482402,0.02031920836485297,0.7903670996843387
a50_o578_m28_an276_ar66,PSA,1438.63,0.49226804123711343,0.19900336739490965,0.0858458776432083,0.12729083788343584,12.115621156211562,0.04032582484787081,0.8652653060807414
a50_o578_m28_an276_ar66,DBSA,659.07,0.9093642611683849,0.048276644102540574,0.049607702741991354,0.18962434659464825,87.88437884378844,0.027703773200776154,0.8110167417263782
